StaffID,Name,Date Employed,Month Employed,Month (Text),Day Employed,Year Employed,Salary,Date of Birth,Age,Age Groups,Gender,Department,Location,Rating
Stf734993,Ches Bonnell,1/1/2010,1,Jan,1,2010,58000,12/24/1981,43,Adults (36 - 45),Male,Sales,Lagos,Very Good
Stf112616,Garwin Peasegood,1/2/2010,1,Jan,2,2010,82000,12/27/1970,54,Middle Age (46 - 55),Female,Engineering,Lagos,Good
Stf876357,Sidoney Yitzhok,1/3/2010,1,Jan,3,2010,38000,12/19/1980,44,Adults (36 - 45),Female,Not Specified,Abuja,Not Rated
Stf954601,Saunders Blumson,1/4/2010,1,Jan,4,2010,53000,12/27/1971,53,Middle Age (46 - 55),Other,Safety,Kaduna,Very Good
Stf521830,Gardy Grigorey,1/5/2010,1,Jan,5,2010,63000,12/25/1979,45,Middle Age (46 - 55),Female,Safety,Kaduna,Poor
Stf846821,Marlie Charsley,1/6/2010,1,Jan,6,2010,59000,12/18/1982,42,Adults (36 - 45),Male,Safety,Abuja,Poor
Stf725604,Adella Hartshorne,1/7/2010,1,Jan,7,2010,25000,12/26/1973,51,Middle Age (46 - 55),Female,Human Resources,Lagos,Average
Stf708558,Rasla Fisby,1/8/2010,1,Jan,8,2010,58000,12/26/1973,51,Middle Age (46 - 55),Male,Legal,Abuja,Very Good
Stf356032,Rayna Gamlin,1/9/2010,1,Jan,9,2010,30000,12/24/1981,43,Adults (36 - 45),Other,Legal,Abuja,Average
Stf981846,Willi Vasey,1/10/2010,1,Jan,10,2010,28000,12/26/1975,49,Middle Age (46 - 55),Female,Safety,Kaduna,Average
Stf469066,Selby Hacker,1/11/2010,1,Jan,11,2010,72000,12/21/1994,30,Adults (36 - 45),Male,Business Development,Lagos,Average
Stf267412,Stefa Eggleston,1/12/2010,1,Jan,12,2010,0,12/18/1985,39,Adults (36 - 45),Male,Sales,Kaduna,Average
Stf806691,Phylys Benitez,1/13/2010,1,Jan,13,2010,29000,12/21/1994,30,Adults (36 - 45),Female,Product,Abuja,Average
Stf485611,Ronnie Sinyard,1/14/2010,1,Jan,14,2010,57000,12/18/1989,35,Adults (36 - 45),Female,Legal,Abuja,Good
Stf120366,Axel Grigaut,1/15/2010,1,Jan,15,2010,92000,12/20/1996,28,Adults (36 - 45),Male,Sales,Abuja,Poor
Stf562364,Timmi Durran,1/16/2010,1,Jan,16,2010,36000,12/25/1979,45,Middle Age (46 - 55),Male,Human Resources,Abuja,Good
Stf319461,Minna Showler,1/17/2010,1,Jan,17,2010,7000,12/24/1983,41,Adults (36 - 45),Female,Training,Kaduna,Good
Stf240097,Dyanne Strafen,1/18/2010,1,Jan,18,2010,26000,12/22/1990,34,Adults (36 - 45),Male,Engineering,Lagos,Average
Stf944691,Dorolice Farry,1/19/2010,1,Jan,19,2010,51000,12/26/1973,51,Middle Age (46 - 55),Female,Sales,Kaduna,Average
Stf513677,Elliot Tuplin,1/20/2010,1,Jan,20,2010,0,12/27/1969,55,Middle Age (46 - 55),Female,Sales,Kaduna,Average
Stf166558,Lion Adcock,1/21/2010,1,Jan,21,2010,0,12/27/1969,55,Middle Age (46 - 55),Female,Legal,Lagos,Average
Stf691349,Vic Radolf,1/22/2010,1,Jan,22,2010,0,12/25/1976,48,Middle Age (46 - 55),Female,Product,Abuja,Very Good
Stf508787,Tiffani Mecozzi,1/23/2010,1,Jan,23,2010,0,12/18/1989,35,Adults (36 - 45),Female,Training,Lagos,Average
Stf180677,Jeane Bermingham,1/24/2010,1,Jan,24,2010,0,12/22/1988,36,Adults (36 - 45),Male,Sales,Kaduna,Very Poor
Stf396762,Gavan Puttan,1/25/2010,1,Jan,25,2010,0,12/18/1989,35,Adults (36 - 45),Male,Finance,Abuja,Good
Stf499476,Danielle Johananoff,1/26/2010,1,Jan,26,2010,0,12/25/1979,45,Middle Age (46 - 55),Male,Cxc,Lagos,Average
Stf330966,Rafaelita Blaksland,1/27/2010,1,Jan,27,2010,4000,12/19/1982,42,Adults (36 - 45),Female,Cxc,Kaduna,Good
Stf311754,Brit Hamnett,1/28/2010,1,Jan,28,2010,26000,12/27/1970,54,Middle Age (46 - 55),Male,Human Resources,Abuja,Average
Stf285415,Mable Phythian,1/29/2010,1,Jan,29,2010,59000,12/18/1989,35,Adults (36 - 45),Female,Engineering,Kaduna,Average
Stf588647,Joella Maevela,1/30/2010,1,Jan,30,2010,64000,12/18/1989,35,Adults (36 - 45),Female,Sales,Abuja,Good
Stf931101,Mollie Hanway,1/31/2010,1,Jan,31,2010,35000,12/22/1988,36,Adults (36 - 45),Male,Not Specified,Lagos,Average
Stf994358,Obidiah Westrope,2/1/2010,2,Feb,1,2010,3000,12/22/1990,34,Adults (36 - 45),Male,Legal,Kaduna,Good
Stf584422,Murry Dryburgh,2/2/2010,2,Feb,2,2010,85000,12/21/1995,29,Adults (36 - 45),Male,Sales,Kaduna,Poor
Stf997094,Abbie Tann,2/3/2010,2,Feb,3,2010,50000,12/20/1996,28,Adults (36 - 45),Female,Business Development,Lagos,Good
Stf480626,Aluin Churly,2/4/2010,2,Feb,4,2010,82000,12/23/1986,38,Adults (36 - 45),Female,Sales,Kaduna,Not Rated
Stf305003,Bennett Gimenez,2/5/2010,2,Feb,5,2010,49000,12/18/1989,35,Adults (36 - 45),Female,Human Resources,Abuja,Good
Stf372248,Isa Mogie,2/6/2010,2,Feb,6,2010,16000,12/25/1977,47,Middle Age (46 - 55),Female,Training,Kaduna,Good
Stf427113,Yves Clunie,2/7/2010,2,Feb,7,2010,48000,12/20/1996,28,Adults (36 - 45),Female,Marketing,Lagos,Average
Stf652541,Iain Wiburn,2/8/2010,2,Feb,8,2010,17000,12/25/1977,47,Middle Age (46 - 55),Female,Sales,Kaduna,Average
Stf159266,Nonah Bissell,2/9/2010,2,Feb,9,2010,80000,12/23/1987,37,Adults (36 - 45),Male,Engineering,Kaduna,Poor
Stf203923,Mendel Gentsch,2/10/2010,2,Feb,10,2010,5000,12/22/1990,34,Adults (36 - 45),Male,Human Resources,Lagos,Very Poor
Stf295060,Alfred Peplay,2/11/2010,2,Feb,11,2010,75000,12/23/1984,40,Adults (36 - 45),Female,Human Resources,Lagos,Very Good
Stf771406,Adelina Cheeseman,2/12/2010,2,Feb,12,2010,64000,12/27/1969,55,Middle Age (46 - 55),Male,Safety,Kaduna,Very Good
Stf461784,Minetta Parsons,2/13/2010,2,Feb,13,2010,99000,12/20/1996,28,Adults (36 - 45),Female,Human Resources,Abuja,Good
Stf761039,Hobard Benninger,2/14/2010,2,Feb,14,2010,36000,12/18/1989,35,Adults (36 - 45),Female,Product,Abuja,Average
Stf681356,Fancy Bonin,2/15/2010,2,Feb,15,2010,11000,12/26/1972,52,Middle Age (46 - 55),Other,Training,Lagos,Good
Stf963344,Laura Gomar,2/16/2010,2,Feb,16,2010,50000,12/25/1977,47,Middle Age (46 - 55),Female,Sales,Lagos,Poor
Stf456260,Beatrix Schoales,2/17/2010,2,Feb,17,2010,51000,12/22/1989,35,Adults (36 - 45),Other,Sales,Kaduna,Average
Stf601751,Clemmie Hebblewaite,2/18/2010,2,Feb,18,2010,66000,12/20/1991,33,Adults (36 - 45),Other,Cxc,Kaduna,Very Poor
Stf780483,Issie Crippes,2/19/2010,2,Feb,19,2010,50000,12/25/1977,47,Middle Age (46 - 55),Female,Product,Abuja,Very Good
Stf806040,Vasily MacVanamy,2/20/2010,2,Feb,20,2010,52000,12/19/1991,33,Adults (36 - 45),Male,Human Resources,Lagos,Average
Stf975456,Aile Strathearn,2/21/2010,2,Feb,21,2010,68000,12/18/1994,30,Adults (36 - 45),Female,Marketing,Lagos,Good
Stf210775,Shellysheldon Mahady,2/22/2010,2,Feb,22,2010,80000,12/23/1985,39,Adults (36 - 45),Male,Training,Lagos,Very Poor
Stf250987,Laney Renne,2/23/2010,2,Feb,23,2010,51000,12/26/1973,51,Middle Age (46 - 55),Male,Engineering,Kaduna,Good
Stf678742,Trace Sidsaff,2/24/2010,2,Feb,24,2010,50000,12/18/1976,48,Middle Age (46 - 55),Female,Finance,Kaduna,Poor
Stf391199,Kelly Corkitt,2/25/2010,2,Feb,25,2010,22000,12/25/1978,46,Middle Age (46 - 55),Female,Human Resources,Lagos,Poor
