StaffID,Name,Date Employed,Salary,Date of Birth,Gender,Department,Location,Rating
Stf734993,Ches Bonnell,1/1/2010,58000,12/24/1981,Male,Sales,Lagos,Very Good
Stf112616,Garwin Peasegood,1/2/2010,82000,12/27/1970,Female,Engineering,Lagos,Good
Stf876357,Sidoney Yitzhok,1/3/2010,38000,12/19/1980,Female,,Abuja,Not Rated
Stf954601,Saunders Blumson,1/4/2010,53000,12/27/1971,,Safety,Kaduna,Very Good
Stf521830,Gardy Grigorey,1/5/2010,63000,12/25/1979,Female,Safety,Kaduna,Poor
Stf846821,Marlie Charsley,1/6/2010,59000,12/18/1982,Male,Safety,Abuja,Poor
Stf725604,Adella Hartshorne,1/7/2010,25000,12/26/1973,Female,Human Resources,Lagos,Average
Stf708558,Rasla Fisby,1/8/2010,58000,12/26/1973,Male,Legal,Abuja,Very Good
Stf356032,Rayna Gamlin,1/9/2010,30000,12/24/1981,,Legal,Abuja,Average
Stf981846,Willi Vasey,1/10/2010,28000,12/26/1975,Female,Safety,Kaduna,Average
Stf469066,Selby Hacker,1/11/2010,72000,12/21/1994,Male,Business Development,Lagos,Average
Stf267412,Stefa Eggleston,1/12/2010,,12/18/1985,Male,Sales,Kaduna,Average
Stf806691,Phylys Benitez,1/13/2010,29000,12/21/1994,Female,Product,Abuja,Average
Stf485611,Ronnie Sinyard,1/14/2010,57000,12/18/1989,Female,Legal,Abuja,Good
Stf120366,Axel Grigaut,1/15/2010,92000,12/20/1996,Male,Sales,Abuja,Poor
Stf562364,Timmi Durran,1/16/2010,36000,12/25/1979,Male,Human Resources,Abuja,Good
Stf319461,Minna Showler,1/17/2010,7000,12/24/1983,Female,Training,Kaduna,Good
Stf240097,Dyanne Strafen,1/18/2010,26000,12/22/1990,Male,Engineering,Lagos,Average
Stf944691,Dorolice Farry,1/19/2010,51000,12/26/1973,Female,Sales,Kaduna,Average
Stf513677,Elliot Tuplin,1/20/2010,,12/27/1969,Female,Sales,Kaduna,Average
Stf166558,Lion Adcock,1/21/2010,,12/27/1969,Female,Legal,Lagos,Average
Stf691349,Vic Radolf,1/22/2010,,12/25/1976,Female,Product,Abuja,Very Good
Stf508787,Tiffani Mecozzi,1/23/2010,,12/18/1989,Female,Training,Lagos,Average
Stf180677,Jeane Bermingham,1/24/2010,,12/22/1988,Male,Sales,Kaduna,Very Poor
Stf396762,Gavan Puttan,1/25/2010,,12/18/1989,Male,Finance,Abuja,Good
Stf499476,Danielle Johananoff,1/26/2010,,12/25/1979,Male,Cxc,Lagos,Average
Stf330966,Rafaelita Blaksland,1/27/2010,4000,12/19/1982,Female,Cxc,Kaduna,Good
Stf311754,Brit Hamnett,1/28/2010,26000,12/27/1970,Male,Human Resources,Abuja,Average
Stf285415,Mable Phythian,1/29/2010,59000,12/18/1989,Female,Engineering,Kaduna,Average
Stf588647,Joella Maevela,1/30/2010,64000,12/18/1989,Female,Sales,Abuja,Good
Stf931101,Mollie Hanway,1/31/2010,35000,12/22/1988,Male,,Lagos,Average
Stf994358,Obidiah Westrope,2/1/2010,3000,12/22/1990,Male,Legal,Kaduna,Good
Stf584422,Murry Dryburgh,2/2/2010,85000,12/21/1995,Male,Sales,Kaduna,Poor
Stf997094,Abbie Tann,2/3/2010,50000,12/20/1996,Female,Business Development,Lagos,Good
Stf480626,Aluin Churly,2/4/2010,82000,12/23/1986,Female,Sales,Kaduna,Not Rated
Stf305003,Bennett Gimenez,2/5/2010,49000,12/18/1989,Female,Human Resources,Abuja,Good
Stf372248,Isa Mogie,2/6/2010,16000,12/25/1977,Female,Training,Kaduna,Good
Stf427113,Yves Clunie,2/7/2010,48000,12/20/1996,Female,Marketing,Lagos,Average
Stf652541,Iain Wiburn,2/8/2010,17000,12/25/1977,Female,Sales,Kaduna,Average
Stf159266,Nonah Bissell,2/9/2010,80000,12/23/1987,Male,Engineering,Kaduna,Poor
Stf203923,Mendel Gentsch,2/10/2010,5000,12/22/1990,Male,Human Resources,Lagos,Very Poor
Stf295060,Alfred Peplay,2/11/2010,75000,12/23/1984,Female,Human Resources,Lagos,Very Good
Stf771406,Adelina Cheeseman,2/12/2010,64000,12/27/1969,Male,Safety,Kaduna,Very Good
Stf461784,Minetta Parsons,2/13/2010,99000,12/20/1996,Female,Human Resources,Abuja,Good
Stf761039,Hobard Benninger,2/14/2010,36000,12/18/1989,Female,Product,Abuja,Average
Stf681356,Fancy Bonin,2/15/2010,11000,12/26/1972,,Training,Lagos,Good
Stf963344,Laura Gomar,2/16/2010,50000,12/25/1977,Female,Sales,Lag0s,Poor
Stf456260,Beatrix Schoales,2/17/2010,51000,12/22/1989,,Sales,Kaduna,Average
Stf601751,Clemmie Hebblewaite,2/18/2010,66000,12/20/1991,,Cxc,Kaduna,Very Poor
Stf780483,Issie Crippes,2/19/2010,50000,12/25/1977,Female,Product,Abuja,Very Good
Stf806040,Vasily MacVanamy,2/20/2010,52000,12/19/1991,Male,Human Resources,Lagos,Average
Stf975456,Aile Strathearn,2/21/2010,68000,12/18/1994,Female,Marketing,Lagos,Good
Stf210775,Shellysheldon Mahady,2/22/2010,80000,12/23/1985,Male,Training,Lagos,Very Poor
Stf250987,Laney Renne,2/23/2010,51000,12/26/1973,Male,Engineering,Kaduna,Good
Stf678742,Trace Sidsaff,2/24/2010,50000,12/18/1976,Female,Finance,Kaduna,Poor
Stf391199,Kelly Corkitt,2/25/2010,22000,12/25/1978,Female,Human Resources,Lagos,Poor
Stf649390,Karlen McCaffrey,2/26/2010,39000,12/21/1992,Female,Cxc,Kaduna,Very Poor
Stf565473,Jordain Sparkwill,2/27/2010,87000,12/25/1979,Female,Product,Abuja,Good
Stf412261,Billie Croucher,2/28/2010,75000,12/24/1980,Female,Engineering,Kaduna,Poor
Stf464378,Izzy Brisco,3/1/2010,75000,12/26/1972,Female,Marketing,Abuja,Average
Stf405438,Ignacius Losel,3/2/2010,32000,12/26/1975,Male,Legal,Kaduna,Good
Stf960613,Peggi Bullas,3/3/2010,94000,12/17/1992,Male,Safety,Abuja,Average
Stf638971,Bab Bridger,3/4/2010,58000,12/19/1983,Male,,Kaduna,Average
Stf494944,Dyna Doucette,3/5/2010,25000,12/23/1984,Male,Sales,Abuja,Average
Stf343323,Marcellina Kitt,3/6/2010,21000,12/24/1984,Female,Business Development,Kaduna,Very Good
Stf687139,Shela Goade,3/7/2010,24000,12/25/1984,Male,Legal,Kaduna,Good
Stf542806,Gwenneth Fealey,3/8/2010,84000,12/25/1976,Female,,Abuja,Average
Stf471910,Kerrie Cockshutt,3/9/2010,62000,12/25/1977,Male,,Lagos,Average
Stf554013,Christopher Kezourec,3/10/2010,100000,12/26/1977,Male,Training,Kaduna,Very Poor
Stf359846,Larry Pioch,3/11/2010,90000,12/25/1976,Male,Sales,Abuja,Poor
Stf109264,Bethanne Shoppee,3/12/2010,38000,12/17/1981,Female,Safety,Abuja,Good
Stf623352,Reidar Skechley,3/13/2010,15000,12/27/1970,Male,Product,Abuja,Average
Stf805037,Bari Toffano,3/14/2010,34000,12/22/1991,Male,Product,Kaduna,Poor
Stf607590,Robinia Scholling,3/15/2010,21000,12/22/1991,Female,Human Resources,Kaduna,Average
Stf575407,Grover Cooksey,3/16/2010,58000,12/22/1990,,Cxc,Kaduna,Poor
Stf966410,Layton Crayden,3/17/2010,100000,12/23/1985,Male,Product,Kaduna,Average
Stf990485,Marlowe Constantine,3/18/2010,18000,12/27/1969,Male,Cxc,Abuja,Average
Stf723293,Rhianna McLeoid,3/19/2010,11000,12/23/1984,Male,Legal,Kaduna,Average
Stf379856,Alida Welman,3/20/2010,81000,12/23/1984,Male,Human Resources,Kaduna,Average
Stf857285,Jacobo Lasham,3/21/2010,73000,12/23/1985,Female,Cxc,Kaduna,Very Poor
Stf681014,Rhody Odhams,3/22/2010,23000,12/20/1998,Male,Training,Lagos,Good
Stf913936,Zach Polon,3/23/2010,67000,12/24/1980,Male,Marketing,Kaduna,Poor
Stf112799,Taddeo Jovis,3/24/2010,99000,12/21/1992,Female,Sales,Abuja,Poor
Stf341239,Katerine Lohden,3/25/2010,80000,12/26/1972,Male,Safety,Kaduna,Average
Stf473839,Jakob Philippe,3/26/2010,46000,12/22/1988,Male,Marketing,Kaduna,Good
Stf950565,Monroe Hendrickx,3/27/2010,60000,12/21/1993,Male,Finance,Kaduna,Not Rated
Stf265982,Fred Dudeney,3/28/2010,2000,12/23/1985,Male,Cxc,Lagos,Poor
Stf602600,Brose MacCorkell,3/29/2010,5000,12/27/1971,Female,Human Resources,Kaduna,Average
Stf642739,Madelene Upcott,3/30/2010,60000,12/18/1991,Male,Legal,Abuja,Average
Stf618287,Cara Havers,3/31/2010,74000,12/27/1971,Male,Marketing,Lagos,Good
Stf782717,Gisella Mewe,4/1/2010,35000,12/19/1980,Female,Safety,Abuja,Good
Stf814756,Daryn Kniveton,4/2/2010,21000,12/18/1985,Female,Marketing,Lagos,Poor
Stf688058,Stormy Church,4/3/2010,67000,12/27/1969,Male,Sales,Lagos,Very Poor
Stf166271,Cull Nannetti,4/4/2010,59000,12/27/1970,Male,Safety,Kaduna,Average
Stf607876,Shirlene Argo,4/5/2010,42000,12/20/1998,Female,Cxc,Abuja,Not Rated
Stf390158,Konstanze Wyleman,4/6/2010,41000,12/20/1989,Male,Engineering,Abuja,Average
Stf686698,Vernor Atyea,4/7/2010,42000,12/20/1987,Female,Training,Kaduna,Good
Stf757750,Pedro St. Hill,4/8/2010,78000,12/25/1978,Male,Engineering,Lagos,Average
Stf837895,Tris Hynard,4/9/2010,19000,12/18/1986,Female,Product,Kaduna,Average
Stf330320,Calvin O'Carroll,4/10/2010,67000,12/20/1981,Female,Sales,Abuja,Very Good
Stf842126,Jessica Burditt,4/11/2010,90000,12/24/1983,Female,Cxc,Kaduna,Average
Stf420020,Aurelea Devitt,4/12/2010,58000,12/26/1974,Male,Safety,Abuja,Average
Stf670772,Meryl Waggatt,4/13/2010,65000,12/25/1976,Female,Business Development,Kaduna,Good
Stf975818,Corri Ellcome,4/14/2010,39000,12/22/1990,Female,,Kaduna,Average
Stf134373,Evyn Fyrth,4/15/2010,90000,12/26/1973,Male,Safety,Kaduna,Average
Stf794437,Car Laden,4/16/2010,42000,12/23/1986,Male,Product,Lagos,Average
Stf556067,Sarene Creeboe,4/17/2010,28000,12/17/1988,Male,Product,Kaduna,Average
Stf656290,Steven Labat,4/18/2010,86000,12/19/1980,Male,Legal,Kaduna,Average
Stf370029,Lindy Guillet,4/19/2010,50000,12/21/1992,Male,Training,Abuja,Poor
Stf386421,Loren Rettie,4/20/2010,33000,12/21/1994,Female,Engineering,Kaduna,Average
Stf844904,Daron Biaggioli,4/21/2010,61000,12/18/1985,Female,Product,Kaduna,Average
Stf640439,Georg Dinnage,4/22/2010,77000,12/20/1996,Male,Training,Kaduna,Poor
Stf332249,Ewart Hovel,4/23/2010,51000,12/24/1980,Female,Training,Lagos,Good
Stf415456,Archaimbaud Pinchin,4/24/2010,52000,12/23/1987,Male,Marketing,Kaduna,Average
Stf439968,Mile Swindley,4/25/2010,66000,12/25/1976,,Business Development,Kaduna,Average
Stf186027,Garwood Penhale,4/26/2010,71000,12/23/1985,Female,Business Development,Kaduna,Very Good
Stf730751,Valentia Etteridge,4/27/2010,5000,12/27/1970,Female,Business Development,Lagos,Average
Stf765085,Courtney Given,4/28/2010,83000,12/23/1987,Male,Engineering,Abuja,Average
Stf845508,Claudetta Petherick,4/29/2010,47000,12/25/1978,Female,Legal,Abuja,Poor
Stf589880,Eberto William,4/30/2010,63000,12/20/1997,Female,Sales,Abuja,Average
Stf151812,Bernie Gorges,5/1/2010,97000,12/21/1994,Female,Training,Lagos,Average
Stf432916,Myrle Prandoni,5/2/2010,22000,12/23/1985,Male,Sales,Kaduna,Very Good
Stf317333,Josepha Keningham,5/3/2010,59000,12/26/1972,Male,Human Resources,Kaduna,Average
Stf237888,Garrick Hadwick,5/4/2010,40000,12/24/1980,Male,Safety,Abuja,Average
Stf908275,Nessy Baskwell,5/5/2010,39000,12/25/1979,Male,Cxc,Kaduna,Average
Stf680620,Rosco Cogley,5/6/2010,32000,12/18/1989,Male,Cxc,Abuja,Average
Stf612816,Tulley Chiddy,5/7/2010,62000,12/19/1970,Female,Finance,Abuja,Average
Stf455002,Camille Baldinotti,5/8/2010,27000,12/23/1984,Female,Product,Lagos,Good
Stf489544,Dave Lacoste,5/9/2010,22000,12/18/1989,Male,Legal,Abuja,Average
Stf983928,Crawford Scad,5/10/2010,88000,12/21/1995,Male,Human Resources,Kaduna,Average
Stf240894,Larry Pioch,5/11/2010,62000,12/24/1983,Male,Sales,Abuja,Good
Stf555234,Judie Di Bernardo,5/12/2010,38000,12/24/1980,Male,Finance,Abuja,Average
Stf111587,Kakalina Stanaway,5/13/2010,62000,12/27/1970,Male,Human Resources,Kaduna,Poor
Stf382635,Max Shower,5/14/2010,30000,12/24/1981,Male,Training,Kaduna,Not Rated
Stf312065,Juditha Hatherleigh,5/15/2010,71000,12/21/1992,Female,Human Resources,Kaduna,Average
Stf991662,Lanny Beaney,5/16/2010,25000,12/20/1999,Male,Legal,Abuja,Average
Stf666932,Jim Perrygo,5/17/2010,50000,12/18/1989,Male,Cxc,Lagos,Good
Stf630600,Shannen Crittal,5/18/2010,11000,12/20/1998,Female,Engineering,Kaduna,Good
Stf488388,Katya Hundy,5/19/2010,50000,12/27/1971,Male,Business Development,Lagos,Average
Stf206424,Cordelia Djuricic,5/20/2010,32000,12/21/1993,Female,Human Resources,Abuja,Very Poor
Stf474670,Emory Whitten,5/21/2010,7000,12/23/1986,Female,Product,Lagos,Not Rated
Stf345741,Philis Rowlstone,5/22/2010,51000,12/22/1989,Female,Human Resources,Lagos,Average
Stf333487,Fedora Graffin,5/23/2010,65000,12/22/1990,Male,Sales,Lagos,Good
Stf480722,Marjie Bamford,5/24/2010,39000,12/26/1973,Male,Sales,Abuja,Very Good
Stf230458,Doe Clubley,5/25/2010,27000,12/27/1970,Female,Product,Kaduna,Not Rated
Stf860042,Adella Hartshorne,5/26/2010,81000,12/22/1989,Female,Human Resources,Abuja,Good
Stf662548,Barney Bonafant,5/27/2010,28000,12/23/1985,Female,Engineering,Abuja,Poor
Stf284818,Nessi Delves,5/28/2010,16000,12/21/1993,Male,Training,Kaduna,Very Good
Stf756510,Addi Studdeard,5/29/2010,33000,12/19/1982,Female,Product,Lagos,Very Poor
Stf369546,Benoite Ackermann,5/30/2010,96000,12/23/1985,Female,Cxc,Abuja,Average
Stf392318,Sharity Brands,5/31/2010,58000,12/26/1974,Male,Product,Abuja,Very Poor
Stf128039,Cassondra Giottini,6/1/2010,72000,12/18/1989,Male,Marketing,Kaduna,Not Rated
Stf751607,Beryl Burnsyde,6/2/2010,24000,12/22/1991,Male,Legal,Lagos,Good
Stf684362,Ollie Schirak,6/3/2010,7000,12/26/1973,Male,Legal,Lagos,Average
Stf591109,Amaleta Baltzar,6/4/2010,23000,12/18/1989,,Sales,Lagos,Very Poor
